City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,bridlington,54.08,-0.19,43.0,87,75,12.75,GB,1581626964
356,yar-sale,66.83,70.83,11.97,96,96,8.68,RU,1581626966
357,san jose del palmar,4.97,-76.23,87.8,48,40,6.93,CO,1581626967
358,baykit,61.67,96.37,-3.84,98,100,0.78,RU,1581626969
359,vostok,46.49,135.88,14.07,97,100,2.77,RU,1581626970
360,chokurdakh,70.63,147.92,-31.13,97,100,4.92,RU,1581626971
361,zaozerne,45.16,33.28,45.1,59,0,14.99,UA,1581626972
362,bonnyville,54.27,-110.73,10.4,55,90,4.7,CA,1581626973
363,lethem,3.38,-59.8,93.27,36,48,17.74,GY,1581626974
364,boa vista,2.82,-60.67,89.6,46,75,13.87,BR,1581626976
365,cozumel,20.51,-86.95,86.0,58,40,16.11,MX,1581626970
366,barcelos,41.54,-8.62,57.2,93,75,6.93,PT,1581626978
367,vaasa,63.08,21.67,30.99,92,90,5.82,FI,1581626979
368,urumqi,43.8,87.6,14.0,72,0,6.71,CN,1581626980
369,mackay,-21.15,149.2,84.99,94,40,5.82,AU,1581626981
370,olafsvik,64.89,-23.71,25.34,75,100,27.22,IS,1581626982
371,marawi,8.0,124.29,73.0,94,100,5.01,PH,1581626983
372,marsa matruh,31.35,27.25,59.0,82,75,4.7,EG,1581626689
373,astoria,46.19,-123.83,46.0,93,90,10.29,US,1581626985
374,faya,18.39,42.45,57.2,44,0,3.36,SA,1581626986
375,amambai,-23.1,-55.23,80.74,74,7,6.67,BR,1581626957
376,sambava,-14.27,50.17,73.35,95,100,3.2,MG,1581626988
377,batemans bay,-35.72,150.18,63.0,96,100,1.25,AU,1581626989
378,tagusao,9.19,117.81,74.77,90,54,6.02,PH,1581626990
379,salalah,17.02,54.09,69.8,21,0,16.11,OM,1581626991
380,flinders,-34.58,150.86,75.0,100,75,4.7,AU,1581626992
381,kysyl-syr,63.9,122.76,-36.09,98,0,1.36,RU,1581626993
382,ballina,-28.87,153.57,71.6,94,75,8.05,AU,1581626994
383,henties bay,-22.12,14.28,64.0,93,0,4.07,NA,1581626995
384,isangel,-19.55,169.27,77.0,100,75,1.12,VU,1581626997
385,tchaourou,8.89,2.6,77.36,19,0,6.08,BJ,1581626998
